dest	src	nlq	lq	cost
78.41.113.35	78.41.112.131	1.000	1.000	1.000
78.41.113.214	78.41.112.131	1.000	1.000	1.000
193.238.156.31	78.41.112.131	1.000	0.396	2.524
193.238.156.90	78.41.112.131	1.000	1.000	1.000
193.238.156.144	78.41.112.131	1.000	1.000	1.000
193.238.158.70	78.41.112.131	0.561	0.654	2.723
193.238.158.169	78.41.112.131	1.000	1.000	1.000
193.238.158.254	78.41.112.132	1.000	1.000	1.000
193.238.159.103	78.41.112.132	1.000	1.000	1.000
78.41.112.225	78.41.112.136	1.000	1.000	1.000
78.41.113.187	78.41.112.137	1.000	0.960	1.040
193.238.159.100	78.41.112.137	1.000	1.000	1.000
78.41.113.99	78.41.112.143	1.000	1.000	1.000
78.41.113.244	78.41.112.143	1.000	1.000	1.000
193.238.156.10	78.41.112.143	1.000	1.000	1.000
193.238.156.62	78.41.112.146	1.000	1.000	1.000
193.238.158.241	78.41.112.146	0.933	0.717	1.492
78.41.112.223	78.41.112.149	1.000	1.000	1.000
78.41.112.237	78.41.112.149	1.000	1.000	1.000
78.41.112.220	78.41.112.156	1.000	1.000	1.000
193.238.158.200	78.41.112.156	1.000	1.000	1.000
78.41.112.166	78.41.112.161	1.000	1.000	1.000
78.41.113.250	78.41.112.161	0.882	1.000	1.133
78.41.112.161	78.41.112.166	1.000	1.000	1.000
193.238.159.100	78.41.112.167	1.000	1.000	1.000
78.41.112.93	78.41.112.168	1.000	1.000	1.000
193.238.159.39	78.41.112.168	1.000	1.000	1.000
193.238.159.71	78.41.112.168	0.792	0.905	1.393
78.41.112.76	78.41.112.169	1.000	1.000	1.000
193.238.158.91	78.41.112.169	1.000	1.000	1.000
193.238.158.119	78.41.112.169	1.000	1.000	1.000
193.238.156.213	78.41.112.171	1.000	1.000	1.000
193.238.158.95	78.41.112.171	1.000	1.000	1.000
193.238.159.100	78.41.112.171	1.000	1.000	1.000
78.41.112.178	78.41.112.173	1.000	1.000	1.000
78.41.113.131	78.41.112.173	1.000	1.000	1.000
193.238.159.61	78.41.112.173	0.940	0.506	2.100
193.238.159.61	78.41.112.177	1.000	1.000	1.000
78.41.112.173	78.41.112.178	1.000	1.000	1.000
78.41.113.131	78.41.112.178	1.000	1.000	1.000
193.238.159.61	78.41.112.178	0.964	0.800	1.295
78.41.113.90	78.41.112.187	0.894	0.364	3.066
78.41.112.236	78.41.112.189	1.000	1.000	1.000
78.41.113.223	78.41.112.189	0.964	0.697	1.484
193.238.156.4	78.41.112.189	1.000	1.000	1.000
78.41.113.248	78.41.112.194	0.831	0.944	1.272
193.238.156.253	78.41.112.194	0.937	0.525	2.030
193.238.159.192	78.41.112.194	0.701	0.944	1.507
78.41.112.220	78.41.112.195	1.000	1.000	1.000
78.41.113.135	78.41.112.195	1.000	1.000	1.000
193.238.156.166	78.41.112.195	1.000	1.000	1.000
193.238.158.237	78.41.112.195	1.000	1.000	1.000
193.238.158.240	78.41.112.195	1.000	1.000	1.000
193.238.159.113	78.41.112.195	1.000	1.000	1.000
193.238.159.252	78.41.112.195	1.000	1.000	1.000
78.41.112.10	78.41.112.201	1.000	0.905	1.104
78.41.113.6	78.41.112.201	1.000	1.000	1.000
78.41.113.99	78.41.112.201	0.972	1.000	1.027
78.41.113.120	78.41.112.201	1.000	1.000	1.000
78.41.113.214	78.41.112.201	1.000	1.000	1.000
193.238.156.25	78.41.112.201	1.000	1.000	1.000
193.238.156.227	78.41.112.201	1.000	0.576	1.734
193.238.157.207	78.41.112.203	0.976	0.521	1.963
78.41.112.235	78.41.112.213	0.662	0.251	6.012
193.238.158.53	78.41.112.213	1.000	1.000	1.000
193.238.158.186	78.41.112.213	1.000	1.000	1.000
193.238.159.246	78.41.112.213	1.000	1.000	1.000
78.41.112.156	78.41.112.220	1.000	1.000	1.000
78.41.112.195	78.41.112.220	1.000	1.000	1.000
193.238.158.200	78.41.112.220	1.000	1.000	1.000
78.41.112.9	78.41.112.222	1.000	0.897	1.113
78.41.112.100	78.41.112.222	1.000	1.000	1.000
78.41.113.71	78.41.112.222	0.983	0.646	1.569
78.41.113.98	78.41.112.222	1.000	1.000	1.000
78.41.113.214	78.41.112.222	1.000	1.000	1.000
193.238.156.22	78.41.112.222	1.000	0.098	10.199
193.238.156.68	78.41.112.222	1.000	1.000	1.000
193.238.156.149	78.41.112.222	1.000	0.098	10.199
193.238.156.191	78.41.112.222	1.000	0.098	10.199
193.238.159.5	78.41.112.222	1.000	1.000	1.000
193.238.159.100	78.41.112.222	1.000	1.000	1.000
193.238.159.169	78.41.112.222	1.000	0.396	2.524
78.41.112.149	78.41.112.223	1.000	1.000	1.000
78.41.112.237	78.41.112.223	1.000	1.000	1.000
193.238.156.237	78.41.112.223	0.796	1.000	1.256
78.41.112.249	78.41.112.224	1.000	1.000	1.000
193.238.158.188	78.41.112.224	1.000	1.000	1.000
78.41.112.136	78.41.112.225	1.000	1.000	1.000
193.238.156.253	78.41.112.225	0.940	0.306	3.473
193.238.158.241	78.41.112.225	0.976	0.514	1.993
78.41.112.247	78.41.112.228	1.000	1.000	1.000
193.238.156.82	78.41.112.228	1.000	1.000	1.000
193.238.158.220	78.41.112.228	1.000	1.000	1.000
193.238.159.222	78.41.112.228	1.000	1.000	1.000
78.41.113.167	78.41.112.229	0.925	0.827	1.306
78.41.112.213	78.41.112.235	0.274	0.654	5.562
78.41.113.140	78.41.112.235	0.705	0.384	3.686
193.238.159.200	78.41.112.235	0.259	0.474	8.142
78.41.112.72	78.41.112.236	0.940	1.000	1.063
78.41.112.189	78.41.112.236	1.000	1.000	1.000
193.238.156.4	78.41.112.236	1.000	1.000	1.000
78.41.112.149	78.41.112.237	1.000	1.000	1.000
78.41.112.223	78.41.112.237	1.000	1.000	1.000
193.238.158.89	78.41.112.244	0.835	0.674	1.774
193.238.158.249	78.41.112.244	0.948	0.847	1.243
78.41.112.228	78.41.112.247	1.000	1.000	1.000
193.238.156.82	78.41.112.247	1.000	1.000	1.000
193.238.158.220	78.41.112.247	1.000	1.000	1.000
193.238.159.222	78.41.112.247	1.000	1.000	1.000
78.41.112.224	78.41.112.249	1.000	1.000	1.000
193.238.156.73	78.41.112.249	0.662	0.584	2.582
193.238.158.244	78.41.112.249	0.670	0.188	7.922
193.238.158.250	78.41.112.249	0.780	0.854	1.498
193.238.159.101	78.41.112.249	0.145	0.384	17.933
193.238.159.143	78.41.112.249	0.713	0.776	1.804
193.238.156.199	78.41.112.254	0.979	0.713	1.429
78.41.112.201	78.41.113.6	1.000	1.000	1.000
78.41.113.241	78.41.113.6	1.000	0.866	1.153
78.41.112.131	78.41.113.7	0.862	1.000	1.158
193.238.159.163	78.41.113.7	1.000	1.000	1.000
78.41.112.79	78.41.113.13	1.000	1.000	1.000
78.41.113.144	78.41.113.13	1.000	1.000	1.000
193.238.158.148	78.41.113.21	0.689	0.776	1.865
78.41.113.71	78.41.113.22	1.000	1.000	1.000
193.238.156.133	78.41.113.22	1.000	1.000	1.000
193.238.156.253	78.41.113.22	0.246	0.454	8.897
78.41.113.26	78.41.113.23	1.000	1.000	1.000
193.238.156.19	78.41.113.23	1.000	0.329	3.035
193.238.156.39	78.41.113.23	1.000	1.000	1.000
193.238.156.54	78.41.113.23	1.000	1.000	1.000
193.238.156.202	78.41.113.23	1.000	1.000	1.000
193.238.158.27	78.41.113.23	1.000	1.000	1.000
193.238.159.39	78.41.113.23	1.000	1.000	1.000
193.238.159.48	78.41.113.23	1.000	1.000	1.000
193.238.159.69	78.41.113.23	1.000	1.000	1.000
193.238.159.83	78.41.113.23	1.000	1.000	1.000
193.238.159.121	78.41.113.23	0.964	0.658	1.573
78.41.113.150	78.41.113.24	1.000	1.000	1.000
193.238.156.202	78.41.113.24	0.874	0.847	1.350
193.238.158.148	78.41.113.25	1.000	0.627	1.594
78.41.113.23	78.41.113.26	1.000	1.000	1.000
193.238.156.39	78.41.113.26	1.000	1.000	1.000
193.238.156.54	78.41.113.26	1.000	1.000	1.000
193.238.156.202	78.41.113.26	1.000	1.000	1.000
193.238.158.27	78.41.113.26	1.000	1.000	1.000
193.238.159.39	78.41.113.26	1.000	1.000	1.000
193.238.159.48	78.41.113.26	1.000	1.000	1.000
193.238.159.69	78.41.113.26	1.000	1.000	1.000
193.238.159.83	78.41.113.26	1.000	1.000	1.000
193.238.159.122	78.41.113.26	0.458	0.129	16.841
193.238.159.246	78.41.113.30	1.000	0.780	1.281
78.41.112.131	78.41.113.35	1.000	1.000	1.000
78.41.113.214	78.41.113.35	1.000	1.000	1.000
193.238.156.90	78.41.113.35	1.000	1.000	1.000
193.238.158.169	78.41.113.35	1.000	1.000	1.000
193.238.156.152	78.41.113.42	1.000	1.000	1.000
193.238.159.44	78.41.113.42	1.000	1.000	1.000
193.238.159.46	78.41.113.42	1.000	1.000	1.000
78.41.113.150	78.41.113.44	1.000	1.000	1.000
193.238.159.160	78.41.113.44	1.000	1.000	1.000
78.41.113.57	78.41.113.47	1.000	1.000	1.000
78.41.113.246	78.41.113.47	1.000	1.000	1.000
193.238.159.129	78.41.113.47	1.000	1.000	1.000
78.41.112.107	78.41.113.57	1.000	1.000	1.000
78.41.113.47	78.41.113.57	1.000	1.000	1.000
78.41.113.246	78.41.113.57	1.000	1.000	1.000
193.238.159.129	78.41.113.57	1.000	1.000	1.000
78.41.112.86	78.41.113.60	1.000	1.000	1.000
78.41.112.222	78.41.113.71	0.646	1.000	1.545
78.41.113.22	78.41.113.71	1.000	1.000	1.000
78.41.113.92	78.41.113.71	1.000	1.000	1.000
78.41.113.94	78.41.113.71	1.000	1.000	1.000
193.238.156.68	78.41.113.71	0.646	1.000	1.545
193.238.156.133	78.41.113.71	1.000	1.000	1.000
193.238.156.184	78.41.113.71	0.643	1.000	1.555
78.41.113.74	78.41.113.73	1.000	1.000	1.000
78.41.113.112	78.41.113.73	1.000	1.000	1.000
78.41.113.73	78.41.113.74	1.000	1.000	1.000
78.41.113.112	78.41.113.74	1.000	1.000	1.000
193.238.159.106	78.41.113.74	1.000	0.917	1.089
78.41.112.12	78.41.113.77	1.000	1.000	1.000
78.41.113.228	78.41.113.77	1.000	1.000	1.000
193.238.156.35	78.41.113.77	1.000	1.000	1.000
193.238.156.135	78.41.113.77	1.000	1.000	1.000
193.238.156.204	78.41.113.77	1.000	0.851	1.175
193.238.156.225	78.41.113.77	1.000	1.000	1.000
193.238.158.90	78.41.113.77	1.000	1.000	1.000
193.238.158.188	78.41.113.77	1.000	1.000	1.000
193.238.159.25	78.41.113.77	1.000	1.000	1.000
193.238.159.54	78.41.113.77	1.000	1.000	1.000
78.41.112.45	78.41.113.90	0.564	0.913	1.938
78.41.112.126	78.41.113.90	1.000	1.000	1.000
78.41.112.187	78.41.113.90	0.364	0.976	2.808
78.41.113.124	78.41.113.90	1.000	1.000	1.000
78.41.113.137	78.41.113.90	1.000	1.000	1.000
78.41.113.250	78.41.113.90	1.000	1.000	1.000
193.238.158.86	78.41.113.90	1.000	1.000	1.000
78.41.113.71	78.41.113.92	1.000	1.000	1.000
78.41.113.71	78.41.113.94	1.000	1.000	1.000
193.238.159.169	78.41.113.94	0.152	0.682	9.582
78.41.112.222	78.41.113.98	1.000	1.000	1.000
193.238.156.22	78.41.113.98	1.000	1.000	1.000
193.238.156.49	78.41.113.98	1.000	1.000	1.000
193.238.156.149	78.41.113.98	1.000	1.000	1.000
193.238.156.191	78.41.113.98	1.000	1.000	1.000
193.238.156.253	78.41.113.98	1.000	1.000	1.000
193.238.159.169	78.41.113.98	1.000	1.000	1.000
193.238.159.240	78.41.113.98	0.643	1.000	1.555
78.41.112.143	78.41.113.99	1.000	1.000	1.000
78.41.112.201	78.41.113.99	1.000	0.983	1.016
78.41.113.244	78.41.113.99	1.000	1.000	1.000
193.238.156.10	78.41.113.99	1.000	1.000	1.000
78.41.113.132	78.41.113.100	0.874	0.956	1.194
78.41.113.140	78.41.113.100	0.866	0.796	1.449
78.41.113.199	78.41.113.100	0.729	0.987	1.387
78.41.113.200	78.41.113.100	0.827	0.968	1.247
193.238.156.66	78.41.113.100	1.000	1.000	1.000
193.238.159.200	78.41.113.100	0.878	1.000	1.138
193.238.159.217	78.41.113.100	1.000	0.956	1.045
193.238.156.184	78.41.113.104	1.000	1.000	1.000
78.41.113.73	78.41.113.112	1.000	1.000	1.000
78.41.113.74	78.41.113.112	1.000	1.000	1.000
78.41.113.228	78.41.113.112	1.000	1.000	1.000
193.238.159.100	78.41.113.118	1.000	1.000	1.000
78.41.112.201	78.41.113.120	1.000	1.000	1.000
78.41.113.223	78.41.113.120	1.000	1.000	1.000
78.41.112.4	78.41.113.124	1.000	0.874	1.143
78.41.112.126	78.41.113.124	1.000	1.000	1.000
78.41.113.90	78.41.113.124	1.000	1.000	1.000
78.41.113.137	78.41.113.124	1.000	1.000	1.000
78.41.113.250	78.41.113.124	1.000	1.000	1.000
193.238.158.86	78.41.113.124	1.000	1.000	1.000
193.238.158.181	78.41.113.124	0.792	1.000	1.262
193.238.159.190	78.41.113.124	1.000	0.847	1.180
78.41.112.173	78.41.113.131	1.000	1.000	1.000
78.41.112.178	78.41.113.131	1.000	1.000	1.000
78.41.112.31	78.41.113.132	1.000	1.000	1.000
78.41.113.100	78.41.113.132	0.952	0.909	1.153
78.41.113.140	78.41.113.132	0.878	0.831	1.369
78.41.113.199	78.41.113.132	0.862	0.968	1.196
78.41.113.200	78.41.113.132	0.937	0.948	1.124
193.238.159.100	78.41.113.132	0.697	1.000	1.432
193.238.159.200	78.41.113.132	0.917	1.000	1.089
193.238.159.217	78.41.113.132	1.000	1.000	1.000
78.41.112.195	78.41.113.135	1.000	1.000	1.000
78.41.113.250	78.41.113.135	0.757	1.000	1.320
193.238.156.166	78.41.113.135	1.000	1.000	1.000
193.238.158.237	78.41.113.135	1.000	1.000	1.000
193.238.158.240	78.41.113.135	1.000	1.000	1.000
193.238.159.113	78.41.113.135	1.000	1.000	1.000
193.238.159.252	78.41.113.135	1.000	1.000	1.000
78.41.112.126	78.41.113.137	1.000	1.000	1.000
78.41.113.90	78.41.113.137	1.000	1.000	1.000
78.41.113.124	78.41.113.137	1.000	1.000	1.000
78.41.113.250	78.41.113.137	1.000	1.000	1.000
193.238.158.86	78.41.113.137	1.000	1.000	1.000
193.238.156.97	78.41.113.139	0.991	0.827	1.218
78.41.112.235	78.41.113.140	0.419	0.596	3.998
78.41.113.100	78.41.113.140	0.725	0.866	1.590
78.41.113.132	78.41.113.140	0.897	0.913	1.218
78.41.113.199	78.41.113.140	0.662	0.956	1.576
78.41.113.200	78.41.113.140	0.693	0.987	1.457
193.238.159.200	78.41.113.140	0.909	0.952	1.153
193.238.159.217	78.41.113.140	0.886	1.000	1.128
193.238.156.49	78.41.113.143	0.654	0.721	2.115
78.41.112.79	78.41.113.144	1.000	1.000	1.000
78.41.113.13	78.41.113.144	1.000	1.000	1.000
193.238.158.72	78.41.113.144	0.983	0.929	1.093
78.41.113.24	78.41.113.150	1.000	1.000	1.000
78.41.113.44	78.41.113.150	1.000	1.000	1.000
193.238.158.28	78.41.113.159	1.000	1.000	1.000
193.238.158.250	78.41.113.159	1.000	1.000	1.000
78.41.112.229	78.41.113.167	0.870	0.925	1.240
193.238.158.244	78.41.113.167	0.796	0.392	3.203
78.41.112.137	78.41.113.187	0.972	1.000	1.027
78.41.112.60	78.41.113.188	1.000	1.000	1.000
78.41.113.240	78.41.113.188	0.886	0.944	1.193
193.238.156.55	78.41.113.188	1.000	1.000	1.000
193.238.156.184	78.41.113.188	1.000	1.000	1.000
193.238.158.27	78.41.113.188	1.000	1.000	1.000
193.238.158.29	78.41.113.188	1.000	1.000	1.000
193.238.158.72	78.41.113.188	1.000	1.000	1.000
193.238.158.248	78.41.113.188	1.000	1.000	1.000
78.41.112.10	78.41.113.191	1.000	1.000	1.000
193.238.159.25	78.41.113.196	1.000	1.000	1.000
193.238.157.207	78.41.113.197	0.769	0.607	2.140
193.238.159.139	78.41.113.197	0.772	0.592	2.186
78.41.113.100	78.41.113.199	0.976	0.933	1.097
78.41.113.132	78.41.113.199	0.956	0.933	1.119
78.41.113.140	78.41.113.199	0.956	0.870	1.200
78.41.113.200	78.41.113.199	1.000	1.000	1.000
193.238.159.200	78.41.113.199	0.948	0.870	1.210
193.238.159.217	78.41.113.199	0.976	0.870	1.176
78.41.113.100	78.41.113.200	0.968	0.792	1.303
78.41.113.132	78.41.113.200	0.948	0.905	1.163
78.41.113.140	78.41.113.200	0.987	0.780	1.296
78.41.113.199	78.41.113.200	1.000	1.000	1.000
193.238.159.200	78.41.113.200	0.987	0.870	1.162
193.238.159.217	78.41.113.200	0.968	0.870	1.186
78.41.112.131	78.41.113.214	1.000	1.000	1.000
78.41.112.201	78.41.113.214	1.000	1.000	1.000
78.41.112.222	78.41.113.214	1.000	1.000	1.000
78.41.113.35	78.41.113.214	1.000	1.000	1.000
193.238.156.9	78.41.113.214	1.000	1.000	1.000
193.238.156.90	78.41.113.214	1.000	1.000	1.000
193.238.156.120	78.41.113.214	1.000	1.000	1.000
193.238.158.32	78.41.113.214	1.000	1.000	1.000
193.238.158.169	78.41.113.214	1.000	1.000	1.000
193.238.158.248	78.41.113.214	1.000	1.000	1.000
193.238.159.61	78.41.113.214	0.972	1.000	1.027
193.238.159.100	78.41.113.214	1.000	1.000	1.000
193.238.156.151	78.41.113.219	1.000	1.000	1.000
193.238.156.163	78.41.113.219	0.800	0.646	1.932
193.238.156.172	78.41.113.219	0.604	0.553	2.994
193.238.159.175	78.41.113.219	0.812	0.553	2.228
78.41.112.189	78.41.113.223	0.697	0.964	1.484
78.41.113.120	78.41.113.223	1.000	1.000	1.000
78.41.112.12	78.41.113.228	1.000	1.000	1.000
78.41.113.77	78.41.113.228	1.000	1.000	1.000
78.41.113.112	78.41.113.228	1.000	1.000	1.000
193.238.156.35	78.41.113.228	1.000	1.000	1.000
